CodeInsee,CodeDepartement,Commune,Votants,arthaud,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN
25392,25,Mont-de-Vougney,120,0,2,33,8,31,7,12,1,6,9,0,5
25393,25,Montécheroux,301,2,8,44,16,116,20,43,7,7,20,3,7
25394,25,Montenois,1017,10,24,229,39,346,60,163,15,46,29,4,29
25395,25,Montfaucon,1092,3,17,448,26,145,80,159,23,74,77,5,10
25397,25,Montferrand-le-Château,1391,19,21,349,60,343,113,237,28,74,79,10,19
25398,25,Montflovin,69,0,0,21,2,13,3,4,0,6,15,0,4
25400,25,Montgesoye,278,2,8,82,13,61,16,46,4,19,13,1,9
25401,25,Montivernage,20,0,0,5,2,8,0,2,0,2,0,1,0
25402,25,Montjoie-le-Château,19,0,0,3,0,3,3,2,0,3,5,0,0
25403,25,Montlebon,1342,6,23,477,49,253,80,147,28,72,92,12,63
25404,25,Montmahoux,49,0,1,11,1,8,3,10,0,3,5,0,7
25405,25,Montperreux,597,7,4,193,30,104,25,93,10,48,37,8,23
25406,25,Montrond-le-Château,373,3,14,89,15,76,20,73,5,13,24,4,16
25408,25,Montussaint,44,0,2,7,2,19,3,5,0,4,0,1,0
25410,25,Morre,752,5,13,225,20,136,42,154,11,51,41,6,26
25411,25,Morteau,3131,15,40,1009,92,533,186,574,61,172,245,32,80
25413,25,Mouthe,576,5,4,185,27,145,29,72,7,31,32,7,22
25414,25,Le Moutherot,82,1,2,11,4,24,4,20,1,2,7,2,3
25415,25,Mouthier-Haute-Pierre,219,0,5,45,4,33,13,54,4,17,21,5,9
25416,25,Myon,133,1,3,49,4,18,11,28,1,4,6,1,3
25417,25,Naisey-les-Granges,546,4,9,157,11,137,30,80,6,24,41,12,15
25418,25,Nancray,858,8,15,296,33,132,67,123,19,63,70,10,7
25419,25,Nans,80,2,2,9,8,24,11,14,2,1,3,0,3
25420,25,Nans-sous-Sainte-Anne,112,1,2,22,4,12,8,32,3,10,8,3,1
25421,25,Narbief,52,0,1,12,7,11,0,3,1,4,5,2,5
25422,25,Neuchâtel-Urtière,118,0,4,38,3,37,6,15,2,2,4,0,4
25424,25,Les-Premiers-Sapins,969,10,17,263,52,242,63,107,10,59,71,8,45
25425,25,Noël-Cerneux,240,1,5,78,13,43,20,20,7,15,18,4,12
25426,25,Noirefontaine,225,7,2,39,17,79,20,19,2,5,14,6,10
25427,25,Noironte,247,5,4,74,11,59,13,31,2,12,12,5,10
25428,25,Nommay,926,4,9,239,29,247,112,123,17,36,64,5,14
25429,25,Novillars,642,2,17,141,22,176,37,143,17,34,27,5,8
25430,25,Ollans,36,0,0,9,2,9,7,4,0,0,4,1,0
25431,25,Onans,239,2,1,58,23,91,12,37,4,2,3,1,3
25432,25,Orchamps-Vennes,1189,8,24,331,39,276,96,130,23,65,113,9,47
25433,25,Orgeans-Blanchefontaine,27,0,1,0,1,12,3,2,0,1,4,0,1
25434,25,Ornans,2579,24,53,776,107,557,158,398,63,142,118,24,84
25435,25,Orsans,118,0,2,27,4,41,11,9,2,5,6,2,3
25436,25,Orve,46,1,0,5,4,14,5,4,0,0,4,0,5
25437,25,Osse,235,2,5,71,10,50,20,35,3,8,9,3,11
25438,25,Osselle-Routelle,584,3,7,159,15,151,43,101,7,32,28,5,10
25439,25,Ougney-Douvot,152,5,4,30,8,42,9,31,3,4,8,1,3
25440,25,Ouhans,244,2,4,66,5,86,9,30,4,13,10,3,5
25441,25,Ouvans,44,0,1,13,0,11,2,6,0,1,8,1,1
25442,25,Oye-et-Pallet,444,0,3,141,19,103,48,56,2,32,22,0,8
25443,25,Palantine,37,0,0,3,3,12,0,5,0,5,4,0,2
25444,25,Palise,102,0,3,19,3,40,10,7,2,3,8,2,4
25445,25,Paroy,92,0,3,17,5,12,6,28,4,4,9,1,3
25446,25,Passavant,133,2,1,47,8,32,9,8,5,1,11,0,6
25447,25,Passonfontaine,199,0,5,50,12,59,18,14,1,5,19,1,10
25448,25,Pelousey,952,7,18,288,22,192,66,174,23,63,48,8,13
25449,25,Péseux,75,0,2,23,5,13,6,7,1,3,4,1,3
25450,25,Pessans,53,0,0,15,0,14,5,7,1,6,0,1,2
25451,25,Petite-Chaux,82,1,0,33,2,17,5,15,2,1,3,0,3
25452,25,Pierrefontaine-lès-Blamont,269,0,3,55,1,103,24,35,2,9,11,2,12
25453,25,Pierrefontaine-les-Varans,804,5,15,201,31,249,42,71,16,29,75,9,37
25454,25,Pirey,1356,5,21,481,19,239,95,200,39,101,86,7,30
25455,25,Placey,132,0,2,39,6,26,17,22,2,3,7,0,3
25456,25,Plaimbois-du-Miroir,174,4,2,41,10,48,11,20,3,2,18,0,6
25457,25,Plaimbois-Vennes,69,0,1,26,5,12,3,3,0,4,8,1,2
25458,25,Les Plains-et-Grands-Essarts,146,3,0,47,14,28,6,8,4,6,20,0,6
25459,25,La Planée,202,1,1,82,9,36,14,21,4,17,7,0,5
25460,25,Le-Val,145,2,7,40,4,29,11,36,1,4,3,1,2
25461,25,Pompierre-sur-Doubs,206,3,1,43,11,92,18,9,6,3,10,1,4
25462,25,Pontarlier,8023,59,106,2566,220,1490,518,1591,144,447,392,66,230
25463,25,Pont-de-Roide-Vermondans,2361,26,50,520,78,802,196,346,43,56,86,16,73
25464,25,Les Pontets,88,0,1,21,4,15,9,15,1,4,7,2,7
25465,25,Pont-les-Moulins,113,1,0,35,6,40,7,6,1,4,7,1,2
25466,25,Pouilley-Français,502,4,10,123,11,127,32,89,8,35,27,9,15
25467,25,Pouilley-les-Vignes,1325,7,19,479,25,234,84,257,22,72,62,9,26
25468,25,Pouligney-Lusans,516,4,7,107,11,203,33,73,8,29,15,3,13
25469,25,Présentevillers,320,3,7,83,7,102,26,38,3,12,20,3,9
25470,25,La Prétière,104,2,4,24,4,36,5,6,1,4,4,2,7
25471,25,Provenchère,97,0,2,30,7,32,4,10,0,0,3,0,5
25472,25,Puessans,12,0,0,4,0,3,0,3,0,0,0,0,2
25473,25,Pugey,457,3,8,102,6,103,28,126,12,24,22,4,8
25474,25,Le Puy,45,1,1,15,4,10,5,5,0,2,0,0,2
25475,25,Quingey,634,6,17,161,20,151,39,136,10,29,19,11,16
25476,25,Rahon,96,0,0,23,12,30,5,4,0,5,10,1,2
25477,25,Rancenay,247,1,4,64,1,61,13,52,2,20,19,3,4
25478,25,Randevillers,77,0,2,19,1,23,7,8,0,2,12,0,1
25479,25,Rang,229,3,7,36,17,83,25,19,6,9,14,1,5
25481,25,Raynans,229,1,4,56,7,65,25,31,3,6,7,1,15
25482,25,Recologne,417,3,9,127,17,123,18,42,7,24,19,5,14
25483,25,Reculfoz,42,0,0,6,2,7,0,12,1,1,7,1,2
25485,25,Rémondans-Vaivre,146,0,3,27,17,56,12,9,3,1,4,0,11
25486,25,Remoray-Boujeons,248,1,0,81,13,43,5,36,3,27,19,2,10
25487,25,Renédale,31,0,0,10,0,5,3,8,0,4,1,0,0
25488,25,Rennes-sur-Loue,75,0,0,24,3,19,6,11,0,5,2,1,1
25489,25,Reugney,226,4,3,56,9,35,15,39,6,11,30,3,9
25490,25,Rigney,252,2,9,67,13,60,11,37,4,9,13,4,9
25491,25,Rignosot,74,0,1,16,1,17,3,17,3,1,12,1,1
25492,25,Rillans,62,0,1,28,2,10,2,8,2,0,7,0,2
25493,25,La Rivière-Drugeon,525,6,9,154,31,135,31,56,12,19,36,3,18
25494,25,Rochejean,379,0,3,109,23,85,24,57,2,20,17,6,24
25495,25,Roche-lez-Beaupré,1259,4,37,340,34,311,82,269,18,45,40,9,38
25496,25,Roche-lès-Clerval,65,0,2,11,0,23,8,6,1,2,7,1,2
25497,25,Roches-lès-Blamont,422,2,6,94,12,158,32,49,7,11,16,3,20
25498,25,Rognon,30,0,0,6,0,13,5,1,0,0,1,0,2
25499,25,Romain,76,0,1,14,7,28,7,7,1,4,1,2,0
25500,25,Ronchaux,58,0,0,17,2,12,3,12,0,1,6,0,5
25501,25,Rondefontaine,23,0,0,2,1,2,0,3,0,2,0,0,11
25502,25,Roset-Fluans,316,1,1,79,12,100,29,34,9,13,15,5,14
25503,25,Rosières-sur-Barbèche,85,1,3,15,0,32,4,17,2,4,2,0,4
25504,25,Rosureux,63,0,0,12,3,25,3,3,0,2,9,1,5
25505,25,Rougemont,558,11,8,132,15,174,55,78,10,7,37,4,18
25506,25,Rougemontot,75,1,0,11,4,36,2,8,0,5,6,0,0
25507,25,Rouhe,57,0,1,15,1,18,2,4,1,5,5,0,0
25508,25,Roulans,735,4,23,209,18,218,39,118,7,32,21,5,17
25510,25,Ruffey-le-Château,212,2,3,52,6,58,16,32,6,11,13,0,8
25511,25,Rurey,203,2,3,51,11,59,10,34,1,4,10,5,4
25512,25,Le Russey,1335,8,8,356,59,365,91,183,24,53,80,11,55
25513,25,Sainte-Anne,33,0,2,7,2,12,0,3,0,3,0,1,1
25514,25,Saint-Antoine,183,0,1,54,14,34,14,18,1,14,8,4,16
25515,25,Sainte-Colombe,264,1,4,81,13,57,14,32,8,19,15,3,10
25516,25,Saint-Georges-Armont,75,2,2,12,6,25,1,18,0,1,1,0,5
25517,25,Saint-Gorgon-Main,179,2,1,66,9,31,18,15,4,11,11,2,7
25518,25,Saint-Hilaire,93,0,1,15,0,38,0,27,0,5,2,0,1
25519,25,Saint-Hippolyte,496,10,14,110,21,170,41,66,7,13,20,2,15
25520,25,Saint-Juan,123,0,4,31,6,42,10,17,1,2,2,3,3
25521,25,Saint-Julien-lès-Montbéliard,126,0,3,28,12,32,14,13,0,8,11,1,3
25522,25,Saint-Julien-lès-Russey,116,0,1,32,9,30,6,16,0,3,8,3,2
25523,25,Sainte-Marie,488,3,12,127,16,165,45,51,9,11,26,1,11
